Weight (gram),Length (cm),Volume (ml)
25.67,13.67,66.78
23.12,12.45,63.12
29.89,11.45,60.56
21.56,14.89,67.89
26.78,13.89,64.23
24.23,12.67,62.67
28.45,15.23,70.78
22.67,11.89,61.34
27.23,14.56,68.89
25.56,13.78,65.12
23.89,12.34,63.45
29.34,11.67,59.78
21.23,14.78,66.45
26.56,13.23,64.89
24.89,12.56,62.23
28.12,15.67,71.12
22.45,11.89,61.67
27.78,14.23,69.34
25.12,13.56,66.56
23.45,12.78,63.89
29.67,11.45,60.23
21.89,14.89,67.12
26.34,13.89,65.78
24.67,12.23,62.45
28.89,15.23,70.67
22.23,11.89,61.78
27.56,14.45,68.12
25.89,13.67,66.34
23.23,12.89,63.56
29.45,11.67,59.89
21.67,14.78,67.23
26.12,13.23,64.56
24.45,12.56,62.89
28.78,15.67,71.34
22.89,11.89,61.23
27.34,14.34,69.78
25.67,13.78,65.89
23.12,12.34,63.12
29.89,11.45,60.45
21.56,14.89,67.56
26.78,13.89,64.78
24.23,12.67,62.34
28.45,15.23,70.89
22.67,11.89,61.67
27.23,14.56,68.23
25.56,13.67,66.45
23.89,12.78,63.78
29.34,11.23,59.67
21.23,14.89,67.34
26.56,13.23,65.12
24.89,12.45,62.56
28.12,15.67,71.23
22.45,11.89,61.34
27.78,14.23,69.45
25.12,13.56,66.78
23.45,12.89,63.89
29.67,11.67,60.12
21.89,14.78,66.89
26.34,13.89,64.23
24.67,12.34,62.67
28.89,15.23,70.78
22.23,11.89,61.89
27.56,14.45,68.34
25.89,13.78,65.67
23.23,12.67,63.23
29.45,11.45,59.56
21.67,14.89,67.12
26.12,13.23,64.78
24.45,12.56,62.34
28.78,15.67,71.45
22.89,11.89,61.23
27.34,14.34,69.67
25.67,13.67,66.89
23.12,12.78,63.12
29.89,11.67,60.34
21.56,14.78,67.56
26.78,13.89,65.23
24.23,12.34,62.89
28.45,15.23,70.67
22.67,11.89,61.78
27.23,14.56,68.12
25.56,13.78,66.45
23.89,12.45,63.56
29.34,11.23,59.78
21.23,14.89,67.34
26.56,13.23,64.67
24.89,12.67,62.23
28.12,15.67,71.12
22.45,11.89,61.56
27.78,14.23,69.34
25.12,13.56,66.78
23.45,12.89,63.89
29.67,11.45,60.23
21.89,14.78,67.12
26.34,13.89,65.56
24.67,12.34,62.45
28.89,15.23,70.89
22.23,11.89,61.78
27.56,14.45,68.23
25.89,13.67,66.34
23.23,12.78,63.67
29.45,11.67,59.45
21.67,14.89,67.23
26.12,13.23,64.78
24.45,12.56,62.34
28.78,15.67,71.56
22.89,11.89,61.23
27.34,14.34,69.78
25.67,13.78,65.89
23.12,12.34,63.12
